Song ID,Song Name,Link,Music Plat.,Artist Name,Artist Link,Artist ID,GD Downloadable State,UnscoutedSongIDs,NCS IDs,CHOMPO IDs,Total Rated Levels,Hyperlinked Name,Hyperlinked Username,Missing Song Detector
14645,I See People And They Say Hi,https://www.newgrounds.com/audio/listen/14645,,BaronVonBadGuy,https://BaronVonBadGuy.newgrounds.com,NG569551,,1286466,10009985,10012909,1,I See People And They Say Hi,BaronVonBadGuy,
14988,"Mario64 Dire, Dire Docks",https://www.newgrounds.com/audio/listen/14988,,MasterFury,https://MasterFury.newgrounds.com,NG197089,,1296236,10009986,10012910,1,"Mario64 Dire, Dire Docks",MasterFury,
15259,*+*+8-bit halloween+*+*,https://drive.google.com/file/d/1tKfgrPMT7k5j7HCHjXkwi7tyk1bPDIHM/view,,Chronamut,15259,NG638435,15259,1296265,10009987,10012911,1,*+*+8-bit halloween+*+*,Chronamut,
15319,Mission Impossible?,https://www.newgrounds.com/audio/listen/15319,,TenchuX,https://TenchuX.newgrounds.com,NG1014821,,1296267,10009988,10012912,1,Mission Impossible?,TenchuX,
16598,Topgear,https://www.newgrounds.com/audio/listen/16598,,Realmguys,https://Realmguys.newgrounds.com,NG748586,,1296269,10009989,10012913,1,Topgear,Realmguys,
16992,PerfectDark: airbase remix,https://www.newgrounds.com/audio/listen/16992,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1296271,10009990,10012914,1,PerfectDark: airbase remix,Waterflame,
16993,-when i sleep-,https://www.newgrounds.com/audio/listen/16993,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1296273,10009991,10012915,1,-when i sleep-,Waterflame,
16996,-fireburst-,https://www.newgrounds.com/audio/listen/16996,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1296276,10009992,10012916,2,-fireburst-,Waterflame,
17207,-purple sky-,https://www.newgrounds.com/audio/listen/17207,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1308670,10009993,10012917,1,-purple sky-,Waterflame,
17256,-boom booster-,https://www.newgrounds.com/audio/listen/17256,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1366557,10009994,10012918,1,-boom booster-,Waterflame,
17293,ParagonX9 - Defection,https://www.newgrounds.com/audio/listen/17293,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,1370394,10009995,10012919,7,ParagonX9 - Defection,ParagonX9,
